DEBUG super_duper: config.root_paths: ["D:/Data/Dev/Scratch/TestD3"]
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\accepts\\LICENSE"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-material"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\src\\app\\components\\navbar"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\dev-ip"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-animate\\angular-animate.min.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\abbrev\\test.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\accepts\\package.json"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-material\\index.d.ts"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\components\\navbar\\navbar.directive.spec.ts"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\dev-ip.cmd"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-animate\\angular-animate.min.js.map"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-animate\\bower.json"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\accepts\\README.md"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-mocks"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\components\\navbar\\navbar.directive.ts"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\components\\navbar\\navbar.html"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-animate\\index.js"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\errno"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\components\\navbar\\navbar.scss"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-mocks\\index.d.ts"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\.editorconfig"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-animate\\package.json"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\.idea"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\errno.cmd"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\src\\app\\components\\webDevTec"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-resource"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-resource\\index.d.ts"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-animate\\README.md"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-aria"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\escodegen"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\.idea\\scopes"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\.gitattributes"
TRACE super_duper::file_proc::scan: [DIRECTORY] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-sanitize"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\escodegen.cmd"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-aria\\.bower.json"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\components\\webDevTec\\webDevTec.service.spec.ts"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\adm-zip\\.idea\\scopes\\scope_settings.xml"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\acorn\\.npmignore"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\typings\\browser\\ambient\\angular-sanitize\\index.d.ts"
TRACE super_duper::file_proc::scan: [ADDING_TO_MAP] "D:/Data/Dev/Scratch/TestD3\\src\\app\\components\\webDevTec\\webDevTec.service.ts"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\bower_components\\angular-aria\\angular-aria.js"
TRACE super_duper::file_proc::scan: [GLOBBED_OUT] "D:/Data/Dev/Scratch/TestD3\\node_modules\\.bin\\esgenerate"
