id,canonical_name,name,file_size,parent_id,part_type
510,D:\Archive\ckgentry.org\ckgentry.org\drupal-7.0-alpha6\sites\all,all,3795,509,1
378,D:\Data\Temp\adt-bundle-windows-x86_64-20131030\adt-bundle-windows-x86_64-20131030\eclipse\plugins\org.eclipse.ui.intro.universal_3.2.600.v20120912-155524\themes\circles\graphics\launchbar\firststeps16.png,firststeps16.png,814,377,2
766,D:\Data\Dev\GoldCoast\Archive\Client,Client,520,142,1
1592,E:\Backup from old 4TB Drive\LR Backup 7-27-2015\Gentry\Gentry Previews.lrdata\9\993A,993A,14832,652,1
1391,D:\Pictures\Originals\Image Files\GentryDigitalCamera\2004,2004,2100715,488,1
815,D:\Data\Dev\Archive\GWG\GWG.Tivo\REORG\FromHG\.hg\store\data\_g_w_g._tivo\_g_w_g._tivo._server\_modules\_tivo_net_module.cs.i,_tivo_net_module.cs.i,516,814,2
1326,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\archive\7-4-2018\bak\ctms.working\gca-ctms-server-node\.git\objects\53\8a1acfde7794162d9fcf08d442db70e60ebd5a,8a1acfde7794162d9fcf08d442db70e60ebd5a,121,1325,2
132,D:\Archive\Archive From Hulk\Users\Gary\Avanade\Projects\MobileDispatch\Environment Setup CD\Visual Tools Setup\DISK2,DISK2,7225,131,1
1874,D:\Data\_MOVE TO ARCHIVE\Gary\Avanade\BD\MAS\Philip Morris,Philip Morris,23552,1873,1
911,D:\Archive\Archive From Hulk\Dev\dotNet\Books\Professional C#\4990,4990,39936,910,1
926,D:\Archive\Archive From Hulk\Media\Digital Pictures\June 2005 Original Structure\Hunter\Web\06-07-2003\Output\pages\DSC00526.html,DSC00526.html,2042,925,2
1575,D:\Data\Dev\Archive\GWG\GWG.Windows.Forms\GCool\XCoolClientPanel.Designer.cs,XCoolClientPanel.Designer.cs,1089,1574,2
7,E:\Backup from old 4TB Drive\LR Backup 7-27-2015\Gentry\Gentry Smart Previews.lrdata\F\F7AD,F7AD,1158570,6,1
1549,D:\Data\Temp\src\Applications\G2.Karaoke\External\taglib-sharp-2.1.0.0-windows\taglib-sharp-2.1.0.0-windows\src\TagLib\ListBase.cs,ListBase.cs,11521,1548,2
753,D:\Pictures\Originals\Image Files\GentryDigitalCamera\2014,2014,429526221,488,1
203,D:\Archive\Archive From Hulk\Old Machines\Beetlejuice Backup\Save\Old Drive,Old Drive,7980816,202,1
372,D:\Data\Temp\adt-bundle-windows-x86_64-20131030\adt-bundle-windows-x86_64-20131030\eclipse\plugins,plugins,3256,371,1
1800,D:\Data\Dev\Archive\GWG\GWG.Tivo\Source\.hg\store\data\_g_w_g._tivo._data\_model\_tivo_model.cs.i,_tivo_model.cs.i,273,1799,2
1547,D:\Data\Temp\src\Applications\G2.Karaoke\External\taglib-sharp-2.1.0.0-windows\taglib-sharp-2.1.0.0-windows\src,src,11521,1546,1
1872,D:\Data\Gary\Avanade\Pre-2012 (likely dupes)\Avanade\BD\MAS\Philip Morris\Avanade Pricing - PMUSA MS CRM Implementation.xls,Avanade Pricing - PMUSA MS CRM Implementation.xls,23552,1871,2
465,D:\Data\Temp\src,src,12879,232,1
1866,D:\Archive\ckgentry.org\ckgentry.org\drupal-7.0-alpha6\SOAP,SOAP,20180,354,1
387,D:\Data\Temp\adt-bundle-windows-x86_64-20131030\adt-bundle-windows-x86_64-20131030\eclipse\plugins\org.eclipse.ui.intro.universal_3.2.600.v20120912-155524\themes\slate\graphics,graphics,814,386,1
69,D:\Pictures\Originals\Image Files\Other\iPhone Photo Backup\2024-03-15,2024-03-15,8217328,68,1
336,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\@cirrusct.bak\.archive\common\packages\relational-schema\dist,dist,287,335,1
1050,D:\Data\Dev\GoldCoast\GCA\CTMS\gca-ctms-server-win\src\GCA\GCA.Debug.Web\client\app\main\controller.ts,controller.ts,143,1049,2
1228,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\@cirrusct.bak\.archive\mr\.git,.git,54,1227,1
1532,D:\Data\Dev\External\taglib-sharp-2.1.0.0-windows\taglib-sharp-2.1.0.0-windows,taglib-sharp-2.1.0.0-windows,11521,1531,1
1676,D:\Data\Dev\G2\Applications\G2.Tivo\Reference\mindrpc\1.1 misc\06-04-11-122703-0008-002-response-mindRpcResponse.txt,06-04-11-122703-0008-002-response-mindRpcResponse.txt,121,1162,2
1424,E:\Temp\sd.webui\system\python\Lib\site-packages\pip\_vendor\tenacity,tenacity,8024,1423,1
1805,D:\Data\Temp\.hg\store\data\_g_w_g._tivo._data\_model,_model,273,1804,1
30,D:\Pictures\Originals\LR Catalog\Gentry\Gentry-v10 Previews.lrdata\3\331C,331C,13968,29,1
187,D:\Data\Dev\GoldCoast\Archive\TrialTracker\Archive\TrialTracker-base template - works\GCA.TrialTracker.Web.App\GCA.TrialTracker.Web.App\bower_components\angular-material\modules\js\content,content,429,186,1
1298,D:\Data\Dev\G2\Applications\G2.Tivo\src\.hg.bak\store\data\_g_w_g._tivo\_g_w_g._tivo._windows_service,_g_w_g._tivo._windows_service,757,308,1
1647,D:\Archive\Archive From Hulk\Dev\dotNet\Samples\Nile Books\Nile2.0\Nile 2.0 IBM WebSphere 3.5\nilejsp\web\readme.txt,readme.txt,137,1646,2
1790,D:\Data\Dev\Archive\GWG\GWG.Tivo\Backup\VS10\.hg\store\data\_g_w_g._tivo._library\_data,_data,273,1789,1
614,D:\Archive\ckgentry.org\ckgentry.org\drupal-7.0-alpha6\sites\all\themes\zen\STARTERKIT\images\messages-status-ie6.png,messages-status-ie6.png,610,613,2
990,D:\Data\Dev\GoldCoast\GCA\CTMS\gca-ctms-app-web.bak2\bower_components\angular-material,angular-material,782,989,1
117,E:\Backup from old 4TB Drive\LR Backup 7-27-2015\Gentry\Gentry Previews.lrdata\F\F345,F345,893008,100,1
97,E:\Temp\sd.webui\system\python\Lib\site-packages\pandas\tests,tests,23344,96,1
992,D:\Data\Dev\GoldCoast\GCA\CTMS\gca-ctms-app-web.bak2\bower_components\angular-material\modules\closure,closure,782,991,1
1155,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\archive\7-4-2018\bak\bak.7-1-2017\cirrusCT.com\src\include\rs-plugin,rs-plugin,15049,1154,1
1502,E:\Backup from old 4TB Drive\LR Backup 7-27-2015\Gentry\Gentry Previews.lrdata\2\2AE9\2AE9A544-4FF4-4727-A959-4500B3B04799-d50c20c1ab90a58022c1cbeae3328d75.lrprev,2AE9A544-4FF4-4727-A959-4500B3B04799-d50c20c1ab90a58022c1cbeae3328d75.lrprev,2207168,1501,2
220,E:\Backup from old 4TB Drive\LR Backup 7-27-2015\Gentry\Gentry Previews.lrdata\D\D5C8\D5C85B2D-CA57-42AB-9C25-36D6C93E8A64-07cc63f155500a902b21fef7be6585b5.lrprev,D5C85B2D-CA57-42AB-9C25-36D6C93E8A64-07cc63f155500a902b21fef7be6585b5.lrprev,12352,219,2
832,D:\Data\Dev\G2\Applications\G2.Tivo\src\.hg\store\data\_g_w_g._tivo\_g_w_g._tivo._server\_modules,_modules,516,831,1
952,D:\Data\Leesa Surface Backup 3-7-2017\Onedrive\Pictures\2015-10,2015-10,3156828,951,1
45,D:\Archive\Archive From Hulk\Users\Gary\tmp,tmp,178558,44,1
102,E:\Backup from old 4TB Drive\LR Backup 7-27-2015\Gentry\Gentry Previews.lrdata\F\FC13\FC13D9F5-3C5A-491C-8A50-819F75BB500D-bc84efe747470aaeb5c521b4f8b82e56.lrprev,FC13D9F5-3C5A-491C-8A50-819F75BB500D-bc84efe747470aaeb5c521b4f8b82e56.lrprev,3439312,101,2
1105,D:\Archive\ckgentry.org\ckgentry.org\drupal-7.0-alpha6\sites\all\libraries\colorbox\example4\images,images,896,1104,1
522,D:\Archive\ckgentry.org\ckgentry.org\drupal-gardens\sites\all\libraries\htmlpurifier\library\HTMLPurifier,HTMLPurifier,173,521,1
1357,D:\Video\VideoProjects\Production\Our Life - Part 1\Combined Shows\Adobe Premiere Pro Preview Files\Our Life - Part 1.PRV\b808a3a7-4aae-489e-bd22-cc776981f4fb+9d1d3007a7e1bcb7d0fa6256 48000.pek,b808a3a7-4aae-489e-bd22-cc776981f4fb+9d1d3007a7e1bcb7d0fa6256 48000.pek,14404,1356,2
678,E:\Backup from old 4TB Drive\Backblaze Restore C was on H\Backblaze Restore (C Drive)\C\dev\archive\7-4-2018\bak\bak.7-1-2017\cirrusCT.com\reference\themeforest-9228123-canvas-the-multipurpose-html5-template\Package-HTML\HTML\portfolio-single-gallery-fullwidth-left-sidebar.html,portfolio-single-gallery-fullwidth-left-sidebar.html,66612,677,2
562,D:\Data\Dev\Scratch\md Datatables 3P\mdDataTable-master (iamisti)\app\bower_components\angular-material\modules\js\button,button,9104,561,1
357,D:\Archive\ckgentry.org\ckgentry.org\drupal-gardens,drupal-gardens,74098,353,1
535,D:\Data\_MOVE TO ARCHIVE\Gary\WebSite,WebSite,1806900,534,1
